"Political Questions","Sports Questions__Basketball","Sports Questions__Soccer","Sports Questions__Football","Sports Questions__Hockey","Sports Questions__Fighting","Sports Questions__Tennis","Sports Questions__Motorsport","Sports Questions__Cricket","Sports Questions__Olympics","Sports Questions__Rugby","Gaming Questions","Crypto Questions","Finance Questions","Stock Market Questions","Temperature of a Location Questions","Miscellaneous"
"Who will vote ""Yea"" on the DHS Appropriations Act, 2026 by March 31?","Arkansas-Pine Bluff Golden Lions vs. Grambling State Tigers","Virtus Bologna vs. ASVEL Lyon-Villeurbanne","NFL Draft 2026: First Overall Pick","Will the Tampa Bay Lightning make the NHL playoffs?","UFC 325: Lawrence Lui vs. Sulangrangbo","Australian Open Women's: Aryna Sabalenka vs Elena Rybakina","F1 Constructors' Champion","Women's T20 World Cup Qualifier: Ireland Women vs Thailand Women","2026 Winter Olympics: Most Medals","Top 14: Montauban vs Union Bordeaux Begles","Valorant: Gentle Mates GC vs Joblife GC (BO3) - VCT Game Changers EMEA Group Stage","Solana Up or Down - January 30, 10:30AM-10:45AM ET","ECB rate cut in 2026?","Will Airbnb (ABNB) beat quarterly earnings?","Highest temperature in Wellington on January 31?","Which company has the best AI model end of March?"
"WY-AL House Election Winner","Maryland Eastern Shore Hawks vs. South Carolina State Bulldogs","Club Alianza Lima vs. CS 2 de Mayo - More Markets","Will the 1st pick in the 2026 NFL draft be traded?","Ducks vs. Canucks","UFC 325: Yizha vs. Kaan Ofli","Australian Open Men's: Ziga Sesko vs Luis Miguel","F1 Drivers' Champion","Sheffield Shield: New South Wales Blues vs Southern Redbacks","2026 Winter Olympics: Most Medal Points","Top 14: Toulouse vs Bayonne","Dota 2: 1win vs Power Rangers (BO5) - PGL Wallachia: Eastern Europe Closed Qualifier Playoffs","Ethereum Up or Down - January 30, 10:30AM-10:45AM ET","GDP growth in 2025","Will Toast (TOST) beat quarterly earnings?","Highest temperature in Ankara on January 31?","Will Lady Gaga attend the Met Gala?"
"WV-02 House Election Winner","Lipscomb Bisons vs. Austin Peay Governors","Associação Chapecoense de Futebol vs. Coritiba FBC - More Markets","Will the 1st pick in the 2026 NFL draft be a QB?","Stars vs. Golden Knights","UFC Fight Night: Ryan Spann vs. Rizvan Kuniev","Australian Open Women's: Ekaterina Tupitsyna vs Xinran Sun","","Sheffield Shield: Victoria Men vs Queensland Bulls","2026 Winter Olympics: 2nd Most Gold Medals","Top 14: La Rochelle vs Lyon Rugby","Dota 2: Vici Gaming vs Game Master (BO1) - ESL Challenger China Playoffs","XRP Up or Down - January 30, 10:30AM-10:45AM ET","How high will 10-year Treasury yield go by March 31?","Will Coinbase Global (COIN) beat quarterly earnings?","Highest temperature in Chicago on January 31?","Drake Maye Rookie Card above ___ end of February?"
"WV-01 House Election Winner","Loyola Marymount Lions vs. San Francisco Dons","Mirassol FC vs. Cruzeiro EC - More Markets","Which teams will draft a QB in the 1st round of the 2026 NFL draft?","Maple Leafs vs. Kraken","UFC 325: Namsrai Batbayar vs. Aaron Tau","Australian Open Men's: Keaton Hance vs Kuan-Shou Chen","","Sheffield Shield: Western Australia Men vs Tasmanian Tigers","2026 Winter Olympics: Most Gold Medals","Top 14: Pau vs Toulon","Dota 2: Yakutou Brothers vs Roar Gaming (BO1) - ESL Challenger China Playoffs","Bitcoin Up or Down - January 30, 10:30AM-10:45AM ET","January Unemployment Rate - Canada","Will Rivian Automotive (RIVN) beat quarterly earnings?","Highest temperature in Miami on January 31?","Shai Gilgeous-Alexander Rookie Card above ___ end of February?"
"WI-08 House Election Winner","Pepperdine Waves vs. Seattle Redhawks","CA Mineiro vs. Clube do Remo - More Markets","Super Bowl Winning Division","Sharks vs. Oilers","UFC 325: Sebastian Szalay vs. Keiichiro Nakamura","Australian Open Women's: Yushan Shao vs Rada Zolotareva","","International T20 Series: Sri Lanka vs England","2026 Winter Olympics: 3rd Most Gold Medals","Top 14: Racing 92 vs Perpignan","Counter-Strike: Eternal Fire vs MOUZ NXT (BO3) - NODWIN Clutch Series Group Stage","Solana Up or Down - January 30, 10:15AM-10:30AM ET","Gold (GC) Up or Down on January 29?","Will Wynn Resorts (WYNN) beat quarterly earnings?","Highest temperature in Atlanta on January 31?","Shohei Ohtani Rookie Card above ___ end of February?"
"WI-07 House Election Winner","Dayton Flyers vs. La Salle Explorers (W)","CR Vasco da Gama vs. EC Bahia - More Markets","Super Bowl Winning Conference","Panthers vs. Blues","UFC 325: Sangwook Kim vs. Dom Mar Fan","Australian Open Women's: Mariia Makarova vs Thea Frodin","","U19 World Cup: Bangladesh Under-19s vs Zimbabwe Under-19s","Will China win the second most medals in the 2026 Winter Olympics?","Top 14: Montpellier vs Stade","Dota 2: Team Refuser vs Yakult Brothers.Tearlaments (BO1) - ESL Challenger China Playoffs","Bitcoin Up or Down - January 30, 10:15AM-10:30AM ET","USD/JPY Up or Down on January 29?","Will Pinterest (PINS) beat quarterly earnings?","Highest temperature in Dallas on January 31?","Nikola Jokic Rookie Card above ___ end of February?"
"WI-06 House Election Winner","Santa Clara Broncos vs. Pacific Tigers","São Paulo FC vs. Grêmio FBPA - More Markets","Super Bowl LX: Overtime?","NHL 2025-26 Vezina Trophy","UFC 325: Elliott vs. Micallef","Australian Open Women's: Kanon Sawashiro vs Ksenia Efremova","","U19 World Cup: Afghanistan Under-19s vs Ireland Under-19s","","","Counter-Strike: Favbet vs Betclic Apogee Esports (BO3) - NODWIN Clutch Series Group Stage","Ethereum Up or Down - January 30, 10:15AM-10:30AM ET","Copper (HG) above ___ end of February?","Will Expedia Group (EXPE) beat quarterly earnings?","Highest temperature in NYC on January 31?","Grok 4.20 released on...?"
"WI-05 House Election Winner","Gonzaga Bulldogs vs. Portland Pilots","O'Higgins FC vs. CD Concepción - More Markets","Super Bowl LX: Safety?","NHL 2025-26 Rocket Richard Trophy","UFC 325: Finney vs. Malkoun","Australian Open Men's: Novak Djokovic vs Jannik Sinner","","U19 World Cup: India Under-19s vs Pakistan Under-19s","","","Dota 2: Xtreme Gaming vs Thriving (BO1) - ESL Challenger China Playoffs","XRP Up or Down - January 30, 10:15AM-10:30AM ET","USD/KRW Up or Down on January 29?","Will Penske Automotive Group (PAG) beat quarterly earnings?","Highest temperature in Seattle on January 31?","Total commitments for the Hurupay public sale on MetaDAO"
"WI-04 House Election Winner","Loyola Chicago Ramblers vs. Fordham Rams (W)","Motherwell FC vs. Rangers FC","Super Bowl LX: Odd/Even Total Points","NHL 2025-26 James Norris Memorial Trophy","UFC 325: Brundage vs. Rowston","Australian Open Men's: Jamie Mackenzie vs Ryo Tabata","","U19 World Cup: South Africa Under-19s vs Sri Lanka Under-19s","","","Counter-Strike: AM Gaming vs los kogutos (BO3) - CCT Europe Series #14 Group Stage","Solana Up or Down - January 30, 10:00AM-10:15AM ET","USD/CAD Up or Down on January 29?","Robinhood (HOOD) Up or Down on January 30?","Highest temperature in Toronto on January 31?","What will be the #2 US Netflix movie this week?"
