trade_date,slug,side,entry_price,size,cost,hours_to_close_at_entry,trade_bought_timestamp,resolution,trade_resolved_timestamp,payout,pnl_no_fees,pnl_with_fees
2026-01-31,sol-updown-4h-1769706000,NO,0.95,2.1053,2.00,2.03,2026-01-31T18:46:42.299Z,NO,2026-01-31T18:47:42.752Z,2.11,0.11,0.08
2026-01-31,xrp-updown-4h-1769706000,NO,0.91,2.1978,2.00,2.03,2026-01-31T18:46:42.300Z,NO,2026-01-31T18:47:43.487Z,2.20,0.20,0.18
2026-01-31,btc-updown-4h-1769706000,NO,0.96,2.0833,2.00,2.03,2026-01-31T18:46:42.300Z,NO,2026-01-31T18:47:43.786Z,2.08,0.08,0.06
2026-01-31,eth-updown-4h-1769706000,NO,0.92,2.1739,2.00,2.03,2026-01-31T18:46:42.300Z,NO,2026-01-31T18:47:44.544Z,2.17,0.17,0.15
2026-01-31,tsla-close-above-430-on-january-29-2026,NO,0.95,2.1053,2.00,2.03,2026-01-31T18:46:42.301Z,NO,2026-01-31T18:47:45.769Z,2.11,0.11,0.08
2026-01-31,aapl-close-above-255-on-january-29-2026,YES,0.92,2.1739,2.00,2.03,2026-01-31T18:46:42.301Z,YES,2026-01-31T18:47:46.057Z,2.17,0.17,0.15
2026-01-31,col1-gdr-adc-2026-01-29-total-4pt5,NO,0.96,2.0833,2.00,2.02,2026-01-31T18:46:42.301Z,NO,2026-01-31T18:47:46.087Z,2.08,0.08,0.06
2026-01-31,uel-stu3-yob1-2026-01-29-total-1pt5,YES,0.91,2.1978,2.00,1.02,2026-01-31T18:46:42.302Z,YES,2026-01-31T18:47:46.693Z,2.20,0.20,0.18
2026-01-31,uel-pao2-rom1-2026-01-29-total-4pt5,NO,0.94,2.1277,2.00,1.02,2026-01-31T18:46:42.302Z,NO,2026-01-31T18:47:47.626Z,2.13,0.13,0.11
2026-01-31,uel-mta1-bol1-2026-01-29-mta1,NO,0.91,2.1978,2.00,1.02,2026-01-31T18:46:42.302Z,NO,2026-01-31T18:47:47.652Z,2.20,0.20,0.18
2026-01-31,uel-cel3-utr1-2026-01-29-utr1,NO,0.91,2.1978,2.00,1.02,2026-01-31T18:46:42.302Z,NO,2026-01-31T18:47:47.809Z,2.20,0.20,0.18
2026-01-31,uel-por1-ran1-2026-01-29-ran1,NO,0.93,2.1505,2.00,1.02,2026-01-31T18:46:42.302Z,NO,2026-01-31T18:47:48.239Z,2.15,0.15,0.13
2026-01-31,uel-gnk-mal2-2026-01-29-mal2,NO,0.92,2.1739,2.00,1.02,2026-01-31T18:46:42.302Z,NO,2026-01-31T18:47:49.360Z,2.17,0.17,0.15
2026-01-31,uel-stu3-yob1-2026-01-29-yob1,NO,0.93,2.1505,2.00,1.02,2026-01-31T18:46:42.303Z,NO,2026-01-31T18:47:49.726Z,2.15,0.15,0.13
2026-01-31,arg-rie-def-2026-01-29-total-4pt5,NO,0.96,2.0833,2.00,1.02,2026-01-31T18:46:42.303Z,NO,2026-01-31T18:47:50.190Z,2.08,0.08,0.06
2026-01-31,sol-updown-4h-1769706000,NO,0.95,2.1053,2.00,2.03,2026-01-31T18:51:00.713Z,NO,2026-01-31T18:52:01.131Z,2.11,0.11,0.08
2026-01-31,xrp-updown-4h-1769706000,NO,0.91,2.1978,2.00,2.03,2026-01-31T18:51:00.713Z,NO,2026-01-31T18:52:01.859Z,2.20,0.20,0.18
2026-01-31,btc-updown-4h-1769706000,NO,0.96,2.0833,2.00,2.03,2026-01-31T18:51:00.714Z,NO,2026-01-31T18:52:02.433Z,2.08,0.08,0.06
2026-01-31,eth-updown-4h-1769706000,NO,0.92,2.1739,2.00,2.03,2026-01-31T18:51:00.714Z,NO,2026-01-31T18:52:02.775Z,2.17,0.17,0.15
2026-01-31,tsla-close-above-430-on-january-29-2026,NO,0.95,2.1053,2.00,2.03,2026-01-31T18:51:00.714Z,NO,2026-01-31T18:52:03.217Z,2.11,0.11,0.08
2026-01-31,aapl-close-above-255-on-january-29-2026,YES,0.92,2.1739,2.00,2.03,2026-01-31T18:51:00.714Z,YES,2026-01-31T18:52:03.526Z,2.17,0.17,0.15
2026-01-31,col1-gdr-adc-2026-01-29-total-4pt5,NO,0.96,2.0833,2.00,2.02,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:03.869Z,2.08,0.08,0.06
2026-01-31,uel-stu3-yob1-2026-01-29-total-1pt5,YES,0.91,2.1978,2.00,1.02,2026-01-31T18:51:00.715Z,YES,2026-01-31T18:52:03.970Z,2.20,0.20,0.18
2026-01-31,uel-pao2-rom1-2026-01-29-total-4pt5,NO,0.94,2.1277,2.00,1.02,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:04.581Z,2.13,0.13,0.11
2026-01-31,uel-mta1-bol1-2026-01-29-mta1,NO,0.91,2.1978,2.00,1.02,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:05.304Z,2.20,0.20,0.18
2026-01-31,uel-cel3-utr1-2026-01-29-utr1,NO,0.91,2.1978,2.00,1.02,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:05.655Z,2.20,0.20,0.18
2026-01-31,uel-por1-ran1-2026-01-29-ran1,NO,0.93,2.1505,2.00,1.02,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:05.955Z,2.15,0.15,0.13
2026-01-31,uel-gnk-mal2-2026-01-29-mal2,NO,0.92,2.1739,2.00,1.02,2026-01-31T18:51:00.715Z,NO,2026-01-31T18:52:06.918Z,2.17,0.17,0.15
2026-01-31,uel-stu3-yob1-2026-01-29-yob1,NO,0.93,2.1505,2.00,1.02,2026-01-31T18:51:00.716Z,NO,2026-01-31T18:52:07.636Z,2.15,0.15,0.13
2026-01-31,arg-rie-def-2026-01-29-total-4pt5,NO,0.96,2.0833,2.00,1.02,2026-01-31T18:51:00.716Z,NO,2026-01-31T18:52:08.709Z,2.08,0.08,0.06
