Date,market,side,,price,size,cost,hours_to_close_at_entry,Timestamp,Resolution,trade_resolved_timestamp,Payout,P&L,
2026-01-26,xrp-up-or-down-january-26-1pm-et,YES,,0.84,2.0525,1.72,0.26,2026-01-26T18:45:05.468Z,YES,2026-01-26T20:27:11.043Z,2.05,0.33,
2026-01-26,solana-up-or-down-january-26-1pm-et,YES,,0.65,2.6525,1.72,0.26,2026-01-26T18:45:05.468Z,YES,2026-01-26T20:27:11.217Z,2.65,0.93,
2026-01-26,ethereum-up-or-down-january-26-1pm-et,YES,,0.71,2.4284,1.72,0.26,2026-01-26T18:45:05.469Z,YES,2026-01-26T20:27:11.377Z,2.43,0.7,
2026-01-26,bitcoin-up-or-down-january-26-1pm-et,YES,,0.89,1.9372,1.72,0.25,2026-01-26T18:45:05.469Z,YES,2026-01-26T20:27:11.583Z,1.94,0.21,
2026-01-26,btc-updown-4h-1769446800,YES,,0.78,2.2104,1.72,2.26,2026-01-26T18:45:05.468Z,YES,2026-01-26T21:03:12.593Z,2.21,0.49,
2026-01-26,sea-ver-udi-2026-01-26-total-3pt5,NO,,0.85,2.0284,1.72,1,2026-01-26T18:45:05.471Z,YES,2026-01-26T23:53:24.237Z,0,-1.72,
2026-01-26,sea-ver-udi-2026-01-26-total-4pt5,NO,,0.95,1.8149,1.72,1,2026-01-26T18:45:05.471Z,NO,2026-01-26T23:53:24.571Z,1.81,0.09,
2026-01-27,epl-eve-lee-2026-01-26-total-4pt5,NO,,0.91,1.8947,1.72,1.25,2026-01-26T18:45:05.471Z,NO,2026-01-27T00:05:24.904Z,1.89,0.17,
2026-01-27,epl-eve-lee-2026-01-26-spread-home-1pt5,NO,,0.84,2.0525,1.72,1.25,2026-01-26T18:45:05.471Z,NO,2026-01-27T00:05:25.039Z,2.05,0.33,
2026-01-27,lal-gir-get-2026-01-26-total-3pt5,NO,,0.86,2.0048,1.72,1.25,2026-01-26T18:45:05.471Z,NO,2026-01-27T00:09:24.621Z,2,0.28,
2026-01-27,lal-gir-get-2026-01-26-total-4pt5,NO,,0.95,1.8149,1.72,1.25,2026-01-26T18:45:05.471Z,NO,2026-01-27T00:09:24.912Z,1.81,0.09,
2026-01-27,es2-ceu-leo-2026-01-26-total-4pt5,NO,,0.89,1.9372,1.72,0.75,2026-01-26T18:45:05.471Z,NO,2026-01-27T00:13:24.300Z,1.94,0.21,
2026-01-27,arg-pla-iac-2026-01-26-total-3pt5,NO,,0.91,1.8947,1.72,1.25,2026-01-26T18:45:05.471Z,NO,2026-01-27T00:13:24.433Z,1.89,0.17,
2026-01-27,arg-pla-iac-2026-01-26-total-3pt5,NO,,0.91,1.8947,1.72,1.25,2026-01-26T18:45:05.471Z,NO,2026-01-27T00:13:24.462Z,1.89,0.17,
2026-01-27,por-por-gil-2026-01-26-total-4pt5,NO,,0.89,1.9372,1.72,1.5,2026-01-26T18:45:05.471Z,NO,2026-01-27T00:25:24.768Z,1.94,0.21,
2026-01-27,fr2-lmf-usd-2026-01-26-total-4pt5,NO,,0.92,1.8741,1.72,1,2026-01-26T18:45:05.471Z,NO,2026-01-27T00:25:24.911Z,1.87,0.15,
2026-01-27,tsla-close-above-450-on-january-26-2026,NO,,0.99,1.7416,1.72,2.25,2026-01-26T18:45:05.470Z,NO,2026-01-27T00:41:23.736Z,1.74,0.02,
2026-01-27,meta-close-above-630-on-january-26-2026,YES,,0.998,1.7276,1.72,2.25,2026-01-26T18:45:05.470Z,YES,2026-01-27T00:41:23.884Z,1.73,0,
